Downloading zstandard (5.3MiB)
Downloading pydantic-core (2.0MiB)
 Downloaded pydantic-core
 Downloaded zstandard
Installed 45 packages in 24ms
  mtrag-35e6be0f20-t6: search=no think=no fallback=no 495 ms
  mtrag-6495c82abb-t3: search=yes think=yes fallback=no 1146 ms
  mtrag-1be6627211-t3: search=yes think=yes fallback=no 885 ms
  mtrag-dd82f0f978-t8: search=yes think=yes fallback=no 1210 ms
  mtrag-c5518952b7-t4: search=yes think=yes fallback=no 1152 ms
  mtrag-d2432696b3-t5: search=yes think=yes fallback=no 789 ms
  mtrag-34ac6bedd4-t4: search=yes think=yes fallback=no 805 ms
  mtrag-47b2471404-t2: search=yes think=no fallback=no 593 ms
  mtrag-be461bfeda-t4: search=yes think=yes fallback=no 846 ms
  mtrag-5b2404d71f-t8: search=yes think=yes fallback=no 1245 ms
  mtrag-f05ba9633e-t6: search=yes think=yes fallback=no 1244 ms
  mtrag-1dcbbeb35d-t4: search=yes think=yes fallback=no 752 ms
  mtrag-d5f0e7023a-t7: search=yes think=yes fallback=no 845 ms
  mtrag-94d04f2cd4-t5: search=no think=yes fallback=no 549 ms
  mtrag-5600fe1c05-t6: search=yes think=yes fallback=no 1142 ms
  mtrag-62a5aee8a4-t7: search=yes think=yes fallback=no 987 ms
  mtrag-717ca9138f-t8: search=yes think=yes fallback=no 1103 ms
  mtrag-8040ccdfc0-t3: search=yes think=yes fallback=no 924 ms
  mtrag-1534a09527-t5: search=yes think=yes fallback=no 821 ms
  mtrag-c1e53df98a-t1: search=yes think=yes fallback=no 999 ms
  mtrag-d5b1e735a0-t8: search=no think=yes fallback=no 608 ms
  mtrag-95a0893567-t5: search=yes think=yes fallback=no 897 ms
  mtrag-cfbcfa3e38-t5: search=yes think=yes fallback=no 1014 ms
  mtrag-ca6f0197d2-t2: search=yes think=yes fallback=no 904 ms
  mtrag-a3f07e9ed5-t3: search=yes think=yes fallback=no 969 ms
  mtrag-766728e82e-t3: search=yes think=yes fallback=no 822 ms
  mtrag-af57ff6995-t5: search=yes think=yes fallback=no 873 ms
  mtrag-dc1aaac0b3-t3: search=yes think=yes fallback=no 1008 ms
  mtrag-91715ec6ec-t4: search=yes think=yes fallback=no 1140 ms
  mtrag-4da5a7f42f-t5: search=yes think=yes fallback=no 1459 ms
  mtrag-8a19ee37ca-t4: search=no think=yes fallback=no 530 ms
  mtrag-41a4006bfa-t2: search=yes think=no fallback=no 796 ms
  mtrag-61374b240d-t7: search=yes think=yes fallback=no 1191 ms
  mtrag-535ebd3063-t6: search=yes think=yes fallback=no 1293 ms
  mtrag-13a398b300-t5: search=yes think=yes fallback=no 1075 ms
  mtrag-af5e45e59e-t2: search=yes think=yes fallback=no 747 ms
  mtrag-d7b4f863ba-t4: search=yes think=no fallback=no 878 ms
  mtrag-2f94b6fb4c-t4: search=yes think=yes fallback=no 1221 ms
  mtrag-62888f39e7-t6: search=yes think=yes fallback=no 972 ms
  mtrag-0208bf26ec-t5: search=yes think=yes fallback=no 763 ms
  mtrag-5815bb4a99-t7: search=yes think=yes fallback=no 893 ms
  mtrag-d44c3196b3-t4: search=yes think=yes fallback=no 976 ms
  mtrag-2cc753bcef-t8: search=yes think=yes fallback=no 1079 ms
  mtrag-1c041ce47a-t6: search=yes think=yes fallback=no 1091 ms
  mtrag-747a810abf-t7: search=yes think=yes fallback=no 762 ms
  mtrag-4751cd8210-t7: search=yes think=yes fallback=no 1001 ms
  mtrag-6a738cc02c-t5: search=yes think=yes fallback=no 1029 ms
  mtrag-5503c6e98c-t2: search=yes think=yes fallback=no 787 ms
  mtrag-c6c3b02ca3-t7: search=yes think=yes fallback=no 904 ms
  mtrag-258193fc88-t7: search=yes think=yes fallback=no 1277 ms
  mtrag-f0d2873b87-t7: search=yes think=yes fallback=no 1192 ms
  mtrag-20c2cbd18c-t2: search=yes think=no fallback=no 693 ms
  mtrag-33431330ab-t8: search=yes think=yes fallback=no 1089 ms
  mtrag-e9dd465e8d-t1: search=no think=no fallback=no 384 ms
  mtrag-aea2634b0e-t6: search=yes think=yes fallback=no 985 ms
  mtrag-79f0d0539d-t6: search=yes think=yes fallback=no 1100 ms
  mtrag-f1121a39d8-t2: search=yes think=yes fallback=no 884 ms
  mtrag-927077bd89-t1: search=yes think=yes fallback=no 833 ms
  mtrag-adf9b1f61c-t4: search=yes think=yes fallback=no 1212 ms
  mtrag-6af5334fbd-t6: search=no think=yes fallback=no 627 ms
  mtrag-b2805ee4c4-t2: search=yes think=yes fallback=no 778 ms
  mtrag-81afaf82a0-t1: search=no think=no fallback=no 385 ms
  mtrag-dcc0215a11-t3: search=yes think=yes fallback=no 925 ms
  mtrag-2b34f5e786-t5: search=yes think=yes fallback=no 1195 ms
  mtrag-04f83f1199-t2: search=yes think=yes fallback=no 1023 ms
  mtrag-4fb9958d3e-t2: search=no think=yes fallback=no 448 ms
  mtrag-0ef145e499-t7: search=yes think=yes fallback=no 1040 ms
  mtrag-91204c45fc-t3: search=yes think=no fallback=no 613 ms
  mtrag-fdee20f7fd-t7: search=yes think=yes fallback=no 1132 ms
  mtrag-72ba19c385-t3: search=no think=yes fallback=no 426 ms
  mtrag-251e29286c-t1: search=yes think=yes fallback=no 757 ms
  mtrag-a6eab3f851-t4: search=yes think=yes fallback=no 957 ms
  mtrag-f0d3086322-t2: search=no think=yes fallback=no 386 ms
  mtrag-5f9ccf0a4f-t1: search=yes think=yes fallback=no 961 ms
  mtrag-f5a8ca2f2b-t5: search=no think=yes fallback=no 484 ms
  mtrag-fd99b316e5-t3: search=yes think=yes fallback=no 622 ms
  mtrag-2f484ad8f3-t8: search=yes think=yes fallback=no 906 ms
  mtrag-ddbbbe7ea1-t2: search=yes think=yes fallback=no 917 ms
  mtrag-3a07680acf-t4: search=yes think=yes fallback=no 752 ms
  mtrag-d4d8edb3e0-t2: search=yes think=yes fallback=no 887 ms
  mtrag-29e3ec96a6-t1: search=yes think=no fallback=no 567 ms
  mtrag-e1b602e47d-t1: search=no think=no fallback=no 385 ms
  mtrag-e52ab8d5f6-t5: search=yes think=yes fallback=no 846 ms
  mtrag-a277cf5022-t4: search=yes think=yes fallback=no 1500 ms
  mtrag-fc3e765d7f-t5: search=yes think=yes fallback=no 1239 ms
  mtrag-dd6b6ffd17-t3: search=yes think=yes fallback=no 1092 ms
  mtrag-1c0e5e78f1-t4: search=yes think=yes fallback=no 1226 ms
  mtrag-9c52934a9a-t5: search=yes think=yes fallback=no 1029 ms
  mtrag-b4614daadc-t4: search=yes think=yes fallback=no 1094 ms
  mtrag-a2698b2973-t3: search=yes think=yes fallback=no 1399 ms
  mtrag-c01c8cf114-t2: search=yes think=yes fallback=no 1049 ms
  mtrag-674aa142d9-t4: search=yes think=yes fallback=no 723 ms
  mtrag-e0f8a53d3a-t4: search=yes think=yes fallback=no 838 ms
  mtrag-4c86c8740c-t4: search=yes think=yes fallback=no 1006 ms
  mtrag-5b9edac124-t1: search=yes think=yes fallback=no 822 ms
  mtrag-3f5fa37823-t2: search=yes think=no fallback=no 823 ms
  mtrag-4175fcce99-t1: search=yes think=yes fallback=no 1013 ms
  mtrag-2f01333723-t7: search=yes think=yes fallback=no 748 ms
  mtrag-694e275f1a-t6: search=yes think=yes fallback=no 1086 ms
  mtrag-941445ba11-t1: search=yes think=yes fallback=no 878 ms
  mtrag-1c74814752-t7: search=yes think=yes fallback=no 1137 ms
  mtrag-1065ea5ad1-t4: search=yes think=yes fallback=no 994 ms
  mtrag-5e79e46513-t2: search=yes think=yes fallback=no 758 ms
  mtrag-ccdfb6b6f9-t7: search=yes think=yes fallback=no 1191 ms
  mtrag-f3a917e029-t5: search=yes think=yes fallback=no 852 ms
  mtrag-4a8369b740-t3: search=yes think=yes fallback=no 990 ms
  mtrag-5c13daa943-t1: search=yes think=no fallback=no 745 ms
  mtrag-124e27c386-t1: search=yes think=no fallback=no 947 ms
  mtrag-6528deeee4-t7: search=yes think=yes fallback=no 1044 ms
  mtrag-7cb06b3f80-t2: search=yes think=yes fallback=no 1253 ms
  mtrag-35e6be0f20-t2: search=yes think=yes fallback=no 1012 ms
  mtrag-6495c82abb-t2: search=yes think=yes fallback=no 805 ms
  mtrag-1be6627211-t4: search=yes think=yes fallback=no 806 ms
  mtrag-dd82f0f978-t3: search=yes think=yes fallback=no 976 ms
  mtrag-c5518952b7-t2: search=yes think=yes fallback=no 795 ms
  mtrag-d2432696b3-t2: search=yes think=yes fallback=no 824 ms
  mtrag-34ac6bedd4-t6: search=yes think=yes fallback=no 1321 ms
  mtrag-47b2471404-t8: search=yes think=yes fallback=no 886 ms
